stock,horizon,target_threshold,best_threshold,test_positive_rate,signal_rate,precision,recall,f1,balanced_accuracy,accuracy,proba_mean,proba_std,proba_min,proba_max,n_test,n_signals,error
MSFT,30,0.05,0.15000000000000002,0.2,0.25,0.32,0.4,0.35555555555555557,0.59375,0.71,0.5529126,0.30006683,0.03318746,0.99201035,200,50,
MSFT,30,0.07,0.15000000000000002,0.145,0.25,0.14,0.2413793103448276,0.17721518987341772,0.494958661020367,0.675,0.49242377,0.2448261,0.05273656,0.95515233,200,50,
MSFT,45,0.02,0.05,0.315,0.25,0.2,0.15873015873015872,0.17699115044247787,0.43337967790522536,0.535,0.80017763,0.16933419,0.13671227,0.98904747,200,50,
MSFT,45,0.03,0.05,0.27,0.25,0.08,0.07407407407407407,0.07692307692307693,0.37950279046169455,0.52,0.8335852,0.15813713,0.26807445,0.9949207,200,50,
MSFT,45,0.05,0.2,0.17,0.25,0.1,0.14705882352941177,0.11904761904761904,0.4379872430900071,0.63,0.68944323,0.22580592,0.07679201,0.98570037,200,50,
MSFT,45,0.07,0.15000000000000002,0.13,0.25,0.1,0.19230769230769232,0.13157894736842105,0.46684350132625996,0.67,0.70419085,0.27841014,0.05699995,0.98114336,200,50,
MSFT,60,0.02,0.05,0.28,0.25,0.1,0.08928571428571429,0.09433962264150944,0.38839285714285715,0.52,0.7389169,0.20630777,0.040689778,0.9826308,200,50,
MSFT,60,0.03,0.05,0.255,0.25,0.08,0.0784313725490196,0.07920792079207921,0.3848532701671272,0.535,0.62254107,0.22934273,0.06368708,0.9809537,200,50,
MSFT,60,0.05,0.05,0.165,0.25,0.06,0.09090909090909091,0.07228915662650602,0.404735982580294,0.615,0.7419475,0.22240224,0.06486773,0.9812991,200,50,
MSFT,60,0.07,0.05,0.115,0.25,0.02,0.043478260869565216,0.0273972602739726,0.3833210513387374,0.645,0.5425353,0.27852488,0.05157678,0.96666133,200,50,
NVDA,10,0.02,0.4,0.465,0.25,0.38,0.20430107526881722,0.26573426573426573,0.45729072455029646,0.475,0.5158673,0.20550296,0.07433054,0.8729213,200,50,
NVDA,10,0.03,0.25,0.44,0.25,0.38,0.2159090909090909,0.2753623188405797,0.4695616883116883,0.5,0.49410346,0.2050706,0.0833131,0.89638436,200,50,
NVDA,10,0.05,0.1,0.335,0.25,0.26,0.19402985074626866,0.2222222222222222,0.45791718101223206,0.545,0.39471912,0.24970552,0.03615587,0.91133094,200,50,
NVDA,10,0.07,0.15000000000000002,0.275,0.25,0.28,0.2545454545454545,0.26666666666666666,0.5031347962382444,0.615,0.37001202,0.23775785,0.049607914,0.9317136,200,50,
NVDA,20,0.02,0.25,0.515,0.25,0.28,0.13592233009708737,0.1830065359477124,0.3823941547392653,0.375,0.6074495,0.25182638,0.073743455,0.9507344,200,50,
NVDA,20,0.03,0.15000000000000002,0.49,0.25,0.18,0.09183673469387756,0.12162162162162163,0.344937975190076,0.35,0.60233855,0.24404772,0.100532606,0.9542782,200,50,
NVDA,20,0.05,0.05,0.43,0.25,0.32,0.18604651162790697,0.23529411764705882,0.4439004487964096,0.48,0.40319538,0.24159296,0.051173225,0.94196427,200,50,
NVDA,20,0.07,0.8500000000000001,0.375,0.25,0.24,0.16,0.192,0.428,0.495,0.41662568,0.30732453,0.014573565,0.9268707,200,50,
NVDA,30,0.02,0.05,0.47,0.25,0.36,0.19148936170212766,0.25,0.44480128462464874,0.46,0.45206422,0.3005099,0.010855835,0.97621983,200,50,
NVDA,30,0.03,0.05,0.455,0.25,0.26,0.14285714285714285,0.18439716312056736,0.4017038007863696,0.425,0.5315064,0.356377,0.014178637,0.99077034,200,50,
NVDA,30,0.05,0.05,0.435,0.25,0.4,0.22988505747126436,0.291970802919708,0.48219916590377376,0.515,0.5781856,0.32124877,0.02455585,0.9940831,200,50,
NVDA,30,0.07,0.05,0.4,0.25,0.22,0.1375,0.16923076923076924,0.40625,0.46,0.5343208,0.31572396,0.027830113,0.9881594,200,50,
NVDA,45,0.02,0.05,0.52,0.25,0.28,0.1346153846153846,0.18181818181818182,0.3798076923076923,0.37,0.6899321,0.2599485,0.019725673,0.98335624,200,50,
NVDA,45,0.03,0.05,0.52,0.25,0.42,0.20192307692307693,0.2727272727272727,0.4499198717948718,0.44,0.66070366,0.26545528,0.02547321,0.9837588,200,50,
NVDA,45,0.05,0.05,0.5,0.25,0.42,0.21,0.28,0.45999999999999996,0.46,0.55400485,0.33395296,0.0102214785,0.9899183,200,50,
NVDA,45,0.07,0.05,0.485,0.25,0.2,0.10309278350515463,0.1360544217687075,0.3573716344710239,0.365,0.65422547,0.30478057,0.020026684,0.9895593,200,50,
NVDA,60,0.02,0.05,0.565,0.25,0.3,0.13274336283185842,0.18404907975460122,0.3652222561285729,0.335,0.53102624,0.33688495,0.0021070302,0.9733706,200,50,
NVDA,60,0.03,0.05,0.565,0.25,0.2,0.08849557522123894,0.12269938650306748,0.3143627301393551,0.285,0.5221798,0.3547023,0.0013824326,0.9580015,200,50,
NVDA,60,0.05,0.05,0.555,0.25,0.16,0.07207207207207207,0.09937888198757763,0.30008097985626075,0.275,0.6105343,0.3738321,0.0037159473,0.9723145,200,50,
NVDA,60,0.07,0.05,0.54,0.25,0.28,0.12962962962962962,0.17721518987341772,0.36916264090177137,0.35,0.6227553,0.35284534,0.009105416,0.9686294,200,50,
AMZN,10,0.02,0.1,0.425,0.25,0.6,0.35294117647058826,0.4444444444444444,0.5895140664961637,0.625,0.26150358,0.16994777,0.024072438,0.77468383,200,50,
AMZN,10,0.03,0.4,0.38,0.25,0.6,0.39473684210526316,0.47619047619047616,0.616723259762309,0.67,0.3038231,0.23781735,0.019566238,0.84533644,200,50,
AMZN,10,0.05,0.1,0.255,0.25,0.52,0.5098039215686274,0.5148514851485149,0.6743650480326359,0.755,0.24901813,0.22265786,0.0077331453,0.86536145,200,50,
AMZN,10,0.07,0.15000000000000002,0.16,0.25,0.26,0.40625,0.3170731707317073,0.5930059523809523,0.72,0.07772945,0.11565083,0.001220776,0.5585859,200,50,
AMZN,20,0.02,0.05,0.5,0.25,0.66,0.33,0.44,0.58,0.58,0.31404158,0.2580533,0.031803176,0.9470078,200,50,
AMZN,20,0.03,0.1,0.455,0.25,0.54,0.2967032967032967,0.3829787234042553,0.542847061195685,0.565,0.27565667,0.20309603,0.032306857,0.84317565,200,50,
AMZN,20,0.05,0.05,0.355,0.25,0.3,0.2112676056338028,0.24793388429752067,0.4699748880882192,0.545,0.15927887,0.14981243,0.015774526,0.6973733,200,50,
AMZN,20,0.07,0.05,0.255,0.25,0.24,0.23529411764705882,0.2376237623762376,0.49013028030003947,0.615,0.17076655,0.16338177,0.01217388,0.74675024,200,50,
AMZN,30,0.02,0.05,0.505,0.25,0.46,0.22772277227722773,0.304635761589404,0.4774977497749775,0.475,0.32211837,0.2572288,0.009437493,0.94468606,200,50,
AMZN,30,0.03,0.2,0.47,0.25,0.32,0.1702127659574468,0.2222222222222222,0.42472902448815736,0.44,0.31475842,0.25292608,0.01657907,0.90268224,200,50,
AMZN,30,0.05,0.05,0.38,0.25,0.4,0.2631578947368421,0.31746031746031744,0.5106112054329371,0.57,0.2225644,0.22338182,0.02202331,0.87202543,200,50,
AMZN,30,0.07,0.05,0.29,0.25,0.22,0.1896551724137931,0.2037037037037037,0.4575036425449247,0.57,0.17437375,0.18380478,0.0029046861,0.8456178,200,50,
AMZN,45,0.02,0.1,0.435,0.25,0.24,0.13793103448275862,0.17518248175182483,0.4008239243210253,0.435,0.23705256,0.17520887,0.02832849,0.8172532,200,50,
AMZN,45,0.03,0.05,0.415,0.25,0.36,0.21686746987951808,0.2706766917293233,0.4716815981876223,0.515,0.23622599,0.20762053,0.015387469,0.92193335,200,50,
AMZN,45,0.05,0.05,0.345,0.25,0.14,0.10144927536231885,0.11764705882352941,0.3866025002765793,0.475,0.26364124,0.25595337,0.0064375047,0.9352185,200,50,
AMZN,45,0.07,0.05,0.295,0.25,0.1,0.0847457627118644,0.09174311926605505,0.3827984132708258,0.505,0.18934052,0.18314089,0.0071793217,0.8406133,200,50,
AMZN,60,0.02,0.05,0.415,0.25,0.46,0.27710843373493976,0.3458646616541353,0.5231696014828545,0.565,0.58866507,0.26359466,0.074976414,0.9324861,200,50,
AMZN,60,0.03,0.1,0.38,0.25,0.4,0.2631578947368421,0.31746031746031744,0.5106112054329371,0.57,0.47172174,0.25282207,0.0421669,0.9295655,200,50,
AMZN,60,0.05,0.05,0.32,0.25,0.42,0.328125,0.3684210526315789,0.5574448529411764,0.64,0.36364064,0.20907007,0.03955085,0.87669545,200,50,
AMZN,60,0.07,0.1,0.275,0.25,0.24,0.21818181818181817,0.22857142857142856,0.4780564263322884,0.595,0.3511222,0.2564583,0.014027005,0.92712426,200,50,
META,10,0.02,0.15000000000000002,0.4,0.25,0.26,0.1625,0.2,0.4270833333333333,0.48,0.5315776,0.18965381,0.109593935,0.964356,200,50,
META,10,0.03,0.25,0.345,0.25,0.22,0.15942028985507245,0.18487394957983194,0.4308551830954751,0.515,0.47246113,0.19661456,0.08252966,0.9353325,200,50,
META,10,0.05,0.05,0.27,0.25,0.06,0.05555555555555555,0.057692307692307696,0.36681887366818877,0.51,0.32966766,0.22864968,0.015709355,0.95008516,200,50,
META,10,0.07,0.05,0.185,0.25,0.04,0.05405405405405406,0.04597701149425287,0.37978776322334606,0.585,0.12557769,0.14410311,0.0027702001,0.6504893,200,50,
META,20,0.02,0.05,0.485,0.25,0.06,0.030927835051546393,0.04081632653061224,0.28730857771994794,0.295,0.6573306,0.25259858,0.07090836,0.9924165,200,50,
META,20,0.03,0.05,0.46,0.25,0.06,0.03260869565217391,0.04225352112676056,0.29871175523349436,0.32,0.59416723,0.23367998,0.07919836,0.9852588,200,50,
META,20,0.05,0.05,0.39,0.25,0.02,0.01282051282051282,0.015625,0.30559058427910885,0.37,0.46184862,0.28724542,0.026433641,0.96215886,200,50,
META,20,0.07,0.05,0.265,0.25,0.06,0.05660377358490566,0.05825242718446602,0.3684379412142215,0.515,0.34990662,0.30477422,0.0059036985,0.9723642,200,50,
META,30,0.02,0.05,0.5,0.25,0.42,0.21,0.28,0.45999999999999996,0.46,0.79543746,0.193897,0.054661002,0.99647045,200,50,
META,30,0.03,0.05,0.485,0.25,0.38,0.1958762886597938,0.2585034013605442,0.447452707436693,0.455,0.79842514,0.2008521,0.15779166,0.99714476,200,50,
META,30,0.05,0.05,0.405,0.25,0.3,0.18518518518518517,0.22900763358778625,0.4455337690631809,0.495,0.7960346,0.2053872,0.19371608,0.9972989,200,50,
META,30,0.07,0.05,0.33,0.25,0.24,0.18181818181818182,0.20689655172413793,0.44911804613297146,0.54,0.5519097,0.311658,0.061418884,0.9928235,200,50,
META,45,0.02,0.05,0.51,0.25,0.54,0.2647058823529412,0.35526315789473684,0.5150060024009604,0.51,0.56775975,0.32266277,0.03727818,0.9981493,200,50,
META,45,0.03,0.05,0.48,0.25,0.52,0.2708333333333333,0.3561643835616438,0.5200320512820513,0.53,0.7659427,0.2780058,0.022701342,0.9990252,200,50,
META,45,0.05,0.05,0.38,0.25,0.38,0.25,0.30158730158730157,0.5,0.56,0.6645824,0.33884996,0.035827685,0.9992059,200,50,
META,45,0.07,0.05,0.265,0.25,0.1,0.09433962264150944,0.0970873786407767,0.3941085868309588,0.535,0.669515,0.3252793,0.01784746,0.9979505,200,50,
META,60,0.02,0.05,0.565,0.25,0.34,0.1504424778761062,0.2085889570552147,0.38556606652426,0.355,0.77914846,0.26293373,0.060061652,0.9978994,200,50,
META,60,0.03,0.05,0.545,0.25,0.34,0.1559633027522936,0.2138364779874214,0.3966629700574654,0.375,0.7021233,0.32541052,0.014169681,0.99767405,200,50,
META,60,0.05,0.05,0.46,0.25,0.36,0.1956521739130435,0.2535211267605634,0.4496779388083736,0.47,0.5178474,0.35365945,0.002835374,0.99789184,200,50,
META,60,0.07,0.05,0.4,0.25,0.22,0.1375,0.16923076923076924,0.40625,0.46,0.6098202,0.33989236,0.0011814524,0.99809414,200,50,
GOOGL,10,0.02,0.7500000000000001,0.45,0.25,0.52,0.28888888888888886,0.37142857142857144,0.5353535353535354,0.56,0.43028986,0.18907492,0.10365341,0.87318975,200,50,
GOOGL,10,0.03,0.5,0.38,0.25,0.56,0.3684210526315789,0.4444444444444444,0.5955008488964346,0.65,0.4954963,0.22122613,0.028716488,0.8888836,200,50,
GOOGL,10,0.05,0.6000000000000001,0.225,0.25,0.32,0.35555555555555557,0.3368421052631579,0.568100358422939,0.685,0.31542423,0.20307033,0.01838451,0.8605073,200,50,
GOOGL,10,0.07,0.7000000000000001,0.125,0.25,0.24,0.48,0.32,0.6314285714285715,0.745,0.17282405,0.17431621,0.0014620082,0.82872427,200,50,
