stock,model,horizon,threshold,n_samples,target_rate,recall,precision,note,accuracy,balanced_accuracy
AAPL,knn,3.0,0.05,1286,0.05287713841368585,0.0,0.0,,,
AAPL,knn,5.0,0.07,1284,0.03894080996884735,0.0,0.0,,,
AAPL,knn,1.0,0.05,1288,0.007763975155279503,0.0,0.0,,,
AAPL,logreg,90.0,0.1,1199,0.40950792326939117,0.0,0.0,,,
AAPL,logreg,90.0,0.15,1199,0.2810675562969141,0.0,0.0,,,
AAPL,logreg,90.0,0.18,1199,0.23019182652210174,0.0,0.0,,,
AAPL,logreg,45.0,0.15,1244,0.13263665594855306,0.0,0.0,,,
AAPL,logreg,90.0,0.03,1199,0.5704753961634695,0.0,0.0,,,
AAPL,logreg,90.0,0.05,1199,0.5229357798165137,0.0,0.0,,,
AAPL,logreg,90.0,0.01,1199,0.6330275229357798,0.0,0.0,,,
AAPL,logreg,60.0,0.18,1229,0.14646053702196907,0.0,0.0,,,
AAPL,logreg,45.0,0.2,1244,0.04662379421221865,0.0,0.0,,,
AAPL,logreg,45.0,0.18,1244,0.0747588424437299,0.0,0.0,,,
AAPL,logreg,20.0,0.15,1269,0.02364066193853428,0.0,0.0,,,
AAPL,logreg,90.0,0.02,1199,0.6013344453711427,0.0,0.0,,,
AAPL,logreg,1.0,0.07,1288,0.003105590062111801,0.0,0.0,,,
AAPL,knn,5.0,0.05,1284,0.10825545171339564,0.0,0.0,,,
AAPL,logreg,90.0,0.2,1199,0.1793160967472894,0.0,0.0,,,
AAPL,logreg,90.0,0.07,1199,0.4854045037531276,0.0,0.0,,,
AAPL,knn,60.0,0.15,1229,0.22457282343368593,0.0,0.0,,,
AAPL,knn,60.0,0.18,1229,0.14646053702196907,0.0,0.0,,,
AAPL,knn,90.0,0.18,1199,0.23019182652210174,0.0,0.0,,,
AAPL,rf,45.0,0.18,1244,0.0747588424437299,0.0,0.0,,,
AAPL,rf,45.0,0.15,1244,0.13263665594855306,0.0,0.0,,,
AAPL,rf,45.0,0.1,1244,0.2990353697749196,0.0,0.0,,,
AAPL,rf,20.0,0.15,1269,0.02364066193853428,0.0,0.0,,,
AAPL,rf,20.0,0.1,1269,0.11899133175728921,0.0,0.0,,,
AAPL,rf,45.0,0.2,1244,0.04662379421221865,0.0,0.0,,,
AAPL,rf,10.0,0.05,1279,0.21657544956997654,0.0,0.0,,,
AAPL,rf,10.0,0.15,1279,0.0023455824863174357,0.0,0.0,,,
AAPL,rf,1.0,0.01,1288,0.24922360248447206,0.0,0.0,,,
AAPL,rf,3.0,0.05,1286,0.05287713841368585,0.0,0.0,,,
AAPL,rf,3.0,0.03,1286,0.13996889580093314,0.0,0.0,,,
AAPL,rf,1.0,0.05,1288,0.007763975155279503,0.0,0.0,,,
AAPL,rf,1.0,0.07,1288,0.003105590062111801,0.0,0.0,,,
AAPL,rf,1.0,0.03,1288,0.039596273291925464,0.0,0.0,,,
AAPL,rf,1.0,0.02,1288,0.10015527950310558,0.0,0.0,,,
AAPL,rf,5.0,0.02,1284,0.32398753894080995,0.0,0.0,,,
AAPL,rf,3.0,0.07,1286,0.017107309486780714,0.0,0.0,,,
AAPL,rf,5.0,0.1,1284,0.009345794392523364,0.0,0.0,,,
AAPL,rf,5.0,0.07,1284,0.03894080996884735,0.0,0.0,,,
AAPL,rf,5.0,0.05,1284,0.10825545171339564,0.0,0.0,,,
AAPL,rf,5.0,0.03,1284,0.2266355140186916,0.0,0.0,,,
AAPL,rf,10.0,0.07,1279,0.12275215011727912,0.0,0.0,,,
AAPL,rf,10.0,0.1,1279,0.03127443315089914,0.0,0.0,,,
AAPL,knn,90.0,0.15,1199,0.2810675562969141,0.0,0.0,,,
AAPL,knn,20.0,0.1,1269,0.11899133175728921,0.0,0.0,,,
AAPL,knn,3.0,0.07,1286,0.017107309486780714,0.0,0.0,,,
AAPL,knn,20.0,0.15,1269,0.02364066193853428,0.0,0.0,,,
AAPL,knn,45.0,0.15,1244,0.13263665594855306,0.0,0.0,,,
AAPL,knn,5.0,0.1,1284,0.009345794392523364,0.0,0.0,,,
AAPL,knn,10.0,0.07,1279,0.12275215011727912,0.0,0.0,,,
AAPL,knn,45.0,0.18,1244,0.0747588424437299,0.0,0.0,,,
AAPL,knn,45.0,0.2,1244,0.04662379421221865,0.0,0.0,,,
AAPL,knn,90.0,0.2,1199,0.1793160967472894,0.0,0.0,,,
AAPL,knn,60.0,0.2,1229,0.09764035801464606,0.0,0.0,,,
AAPL,rf,90.0,0.15,1199,0.2810675562969141,0.0,0.0,,,
AAPL,rf,90.0,0.2,1199,0.1793160967472894,0.0,0.0,,,
AAPL,rf,60.0,0.2,1229,0.09764035801464606,0.0,0.0,,,
AAPL,rf,60.0,0.18,1229,0.14646053702196907,0.0,0.0,,,
AAPL,rf,90.0,0.1,1199,0.40950792326939117,0.0,0.0,,,
AAPL,rf,90.0,0.18,1199,0.23019182652210174,0.0,0.0,,,
AAPL,rf,60.0,0.15,1229,0.22457282343368593,0.0,0.0,,,
AAPL,xgb,1.0,0.05,1288,0.007763975155279503,0.0,0.0,,,
AAPL,xgb,1.0,0.07,1288,0.003105590062111801,0.0,0.0,,,
AAPL,xgb,1.0,0.03,1288,0.039596273291925464,0.0,0.0,,,
AAPL,xgb,3.0,0.03,1286,0.13996889580093314,0.0,0.0,,,
AAPL,xgb,3.0,0.05,1286,0.05287713841368585,0.0,0.0,,,
AAPL,xgb,1.0,0.02,1288,0.10015527950310558,0.0,0.0,,,
AAPL,xgb,5.0,0.1,1284,0.009345794392523364,0.0,0.0,,,
AAPL,xgb,10.0,0.1,1279,0.03127443315089914,0.0,0.0,,,
AAPL,xgb,10.0,0.15,1279,0.0023455824863174357,0.0,0.0,,,
AAPL,xgb,10.0,0.05,1279,0.21657544956997654,0.0,0.0,,,
AAPL,xgb,10.0,0.07,1279,0.12275215011727912,0.0,0.0,,,
AAPL,xgb,3.0,0.07,1286,0.017107309486780714,0.0,0.0,,,
AAPL,xgb,5.0,0.05,1284,0.10825545171339564,0.0,0.0,,,
AAPL,xgb,5.0,0.07,1284,0.03894080996884735,0.0,0.0,,,
AAPL,xgb,20.0,0.15,1269,0.02364066193853428,0.0,0.0,,,
AAPL,xgb,45.0,0.18,1244,0.0747588424437299,0.0,0.0,,,
AAPL,xgb,45.0,0.2,1244,0.04662379421221865,0.0,0.0,,,
AAPL,xgb,45.0,0.15,1244,0.13263665594855306,0.0,0.0,,,
AAPL,xgb,60.0,0.18,1229,0.14646053702196907,0.0,0.0,,,
AAPL,xgb,60.0,0.2,1229,0.09764035801464606,0.0,0.0,,,
AAPL,xgb,90.0,0.15,1199,0.2810675562969141,0.0,0.0,,,
AAPL,xgb,90.0,0.18,1199,0.23019182652210174,0.0,0.0,,,
AAPL,xgb,90.0,0.2,1199,0.1793160967472894,0.0,0.0,,,
AAPL,logreg,1.0,0.1,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
AAPL,logreg,1.0,0.15,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
,,,0.18,1288,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1288,0.0,,,skip (target constant ou trop peu de données),,
AAPL,logreg,3.0,0.1,1286,0.0023328149300155523,,,skip (une seule classe dans train ou test),,
,,,0.15,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.18,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1286,0.0,,,skip (target constant ou trop peu de données),,
AAPL,logreg,5.0,0.15,1284,0.000778816199376947,,,skip (une seule classe dans train ou test),,
,,,0.18,1284,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1284,0.0,,,skip (target constant ou trop peu de données),,
AAPL,logreg,10.0,0.18,1279,0.0007818608287724785,,,skip (une seule classe dans train ou test),,
,,,0.2,1279,0.0,,,skip (target constant ou trop peu de données),,
AAPL,logreg,20.0,0.18,1269,0.006304176516942475,,,skip (une seule classe dans train ou test),,
AAPL,logreg,20.0,0.2,1269,0.002364066193853428,,,skip (une seule classe dans train ou test),,
AAPL,knn,1.0,0.1,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
AAPL,knn,1.0,0.15,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
,,,0.18,1288,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1288,0.0,,,skip (target constant ou trop peu de données),,
AAPL,knn,3.0,0.1,1286,0.0023328149300155523,,,skip (une seule classe dans train ou test),,
,,,0.15,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.18,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1286,0.0,,,skip (target constant ou trop peu de données),,
AAPL,knn,5.0,0.15,1284,0.000778816199376947,,,skip (une seule classe dans train ou test),,
,,,0.18,1284,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1284,0.0,,,skip (target constant ou trop peu de données),,
AAPL,knn,10.0,0.18,1279,0.0007818608287724785,,,skip (une seule classe dans train ou test),,
,,,0.2,1279,0.0,,,skip (target constant ou trop peu de données),,
AAPL,knn,20.0,0.18,1269,0.006304176516942475,,,skip (une seule classe dans train ou test),,
AAPL,knn,20.0,0.2,1269,0.002364066193853428,,,skip (une seule classe dans train ou test),,
AAPL,rf,1.0,0.1,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
AAPL,rf,1.0,0.15,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
,,,0.18,1288,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1288,0.0,,,skip (target constant ou trop peu de données),,
AAPL,rf,3.0,0.1,1286,0.0023328149300155523,,,skip (une seule classe dans train ou test),,
,,,0.15,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.18,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1286,0.0,,,skip (target constant ou trop peu de données),,
AAPL,rf,5.0,0.15,1284,0.000778816199376947,,,skip (une seule classe dans train ou test),,
,,,0.18,1284,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1284,0.0,,,skip (target constant ou trop peu de données),,
AAPL,rf,10.0,0.18,1279,0.0007818608287724785,,,skip (une seule classe dans train ou test),,
,,,0.2,1279,0.0,,,skip (target constant ou trop peu de données),,
AAPL,rf,20.0,0.18,1269,0.006304176516942475,,,skip (une seule classe dans train ou test),,
AAPL,rf,20.0,0.2,1269,0.002364066193853428,,,skip (une seule classe dans train ou test),,
AAPL,xgb,1.0,0.1,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
AAPL,xgb,1.0,0.15,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
,,,0.18,1288,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1288,0.0,,,skip (target constant ou trop peu de données),,
AAPL,xgb,3.0,0.1,1286,0.0023328149300155523,,,skip (une seule classe dans train ou test),,
,,,0.15,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.18,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1286,0.0,,,skip (target constant ou trop peu de données),,
AAPL,xgb,5.0,0.15,1284,0.000778816199376947,,,skip (une seule classe dans train ou test),,
,,,0.18,1284,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1284,0.0,,,skip (target constant ou trop peu de données),,
AAPL,xgb,10.0,0.18,1279,0.0007818608287724785,,,skip (une seule classe dans train ou test),,
,,,0.2,1279,0.0,,,skip (target constant ou trop peu de données),,
AAPL,xgb,20.0,0.18,1269,0.006304176516942475,,,skip (une seule classe dans train ou test),,
AAPL,xgb,20.0,0.2,1269,0.002364066193853428,,,skip (une seule classe dans train ou test),,
,,,0.01,0,,,,skip (target constant ou trop peu de données),,
,,,0.02,0,,,,skip (target constant ou trop peu de données),,
,,,0.03,0,,,,skip (target constant ou trop peu de données),,
,,,0.05,0,,,,skip (target constant ou trop peu de données),,
,,,0.07,0,,,,skip (target constant ou trop peu de données),,
,,,0.1,0,,,,skip (target constant ou trop peu de données),,
,,,0.15,0,,,,skip (target constant ou trop peu de données),,
,,,0.18,0,,,,skip (target constant ou trop peu de données),,
,,,0.2,0,,,,skip (target constant ou trop peu de données),,
,,,0.01,0,,,,skip (target constant ou trop peu de données),,
,,,0.02,0,,,,skip (target constant ou trop peu de données),,
,,,0.03,0,,,,skip (target constant ou trop peu de données),,
,,,0.05,0,,,,skip (target constant ou trop peu de données),,
,,,0.07,0,,,,skip (target constant ou trop peu de données),,
,,,0.1,0,,,,skip (target constant ou trop peu de données),,
,,,0.15,0,,,,skip (target constant ou trop peu de données),,
,,,0.18,0,,,,skip (target constant ou trop peu de données),,
,,,0.2,0,,,,skip (target constant ou trop peu de données),,
,,,0.01,0,,,,skip (target constant ou trop peu de données),,
,,,0.02,0,,,,skip (target constant ou trop peu de données),,
,,,0.03,0,,,,skip (target constant ou trop peu de données),,
,,,0.05,0,,,,skip (target constant ou trop peu de données),,
,,,0.07,0,,,,skip (target constant ou trop peu de données),,
,,,0.1,0,,,,skip (target constant ou trop peu de données),,
,,,0.15,0,,,,skip (target constant ou trop peu de données),,
,,,0.18,0,,,,skip (target constant ou trop peu de données),,
,,,0.2,0,,,,skip (target constant ou trop peu de données),,
,,,0.01,0,,,,skip (target constant ou trop peu de données),,
,,,0.02,0,,,,skip (target constant ou trop peu de données),,
,,,0.03,0,,,,skip (target constant ou trop peu de données),,
,,,0.05,0,,,,skip (target constant ou trop peu de données),,
,,,0.07,0,,,,skip (target constant ou trop peu de données),,
,,,0.1,0,,,,skip (target constant ou trop peu de données),,
,,,0.15,0,,,,skip (target constant ou trop peu de données),,
,,,0.18,0,,,,skip (target constant ou trop peu de données),,
,,,0.2,0,,,,skip (target constant ou trop peu de données),,
,,,0.01,0,,,,skip (target constant ou trop peu de données),,
,,,0.02,0,,,,skip (target constant ou trop peu de données),,
,,,0.03,0,,,,skip (target constant ou trop peu de données),,
,,,0.05,0,,,,skip (target constant ou trop peu de données),,
,,,0.07,0,,,,skip (target constant ou trop peu de données),,
,,,0.1,0,,,,skip (target constant ou trop peu de données),,
,,,0.15,0,,,,skip (target constant ou trop peu de données),,
,,,0.18,0,,,,skip (target constant ou trop peu de données),,
,,,0.2,0,,,,skip (target constant ou trop peu de données),,
,,,0.01,0,,,,skip (target constant ou trop peu de données),,
,,,0.02,0,,,,skip (target constant ou trop peu de données),,
,,,0.03,0,,,,skip (target constant ou trop peu de données),,
