stock,model,horizon,n_samples,target_rate,recall,precision,decision_threshold,score_B
TSLA,logreg,10,1439,0.3856845031271717,0.017699115044247787,1.0,,0.009006186858798653
TSLA,logreg,45,1404,0.5256410256410257,0.19161676646706588,1.0,,0.11416687582917996
TSLA,logreg,60,1389,0.5392368610511159,0.1631578947368421,1.0,,0.09488919667590029
TSLA,lgbm,90,1166,0.48713550600343053,0.26,1.0,,0.1638
TSLA,lgbm,60,1389,0.5392368610511159,0.25263157894736843,1.0,,0.15822714681440442
TSLA,knn,60,1389,0.5392368610511159,0.3631578947368421,1.0,,0.2475207756232687
TSLA,knn,90,1166,0.48713550600343053,0.06,1.0,,0.0318
TSLA,xgb,90,1166,0.48713550600343053,0.20666666666666667,1.0,0.5,0.12468888888888888
TSLA,xgb,60,1389,0.5392368610511159,0.21052631578947367,1.0,0.5,0.12742382271468145
TSLA,rf,60,1389,0.5392368610511159,0.19473684210526315,1.0,,0.11632963988919667
TSLA,rf,90,1166,0.48713550600343053,0.14,1.0,,0.07980000000000001
TSLA,rf,45,1404,0.5256410256410257,0.25748502994011974,0.8958333333333334,,0.13996964378313442
TSLA,knn,45,1404,0.5256410256410257,0.3473053892215569,0.8923076923076924,,0.19925259907105236
TSLA,lgbm,45,1404,0.5256410256410257,0.2874251497005988,0.8275862068965517,,0.14268646922115863
TSLA,xgb,45,1404,0.5256410256410257,0.17365269461077845,0.8055555555555556,0.5,0.07779454135815633
TSLA,rf,20,1429,0.443666899930021,0.21774193548387097,0.7941176470588235,,0.10154576268592766
TSLA,logreg,90,1166,0.48713550600343053,0.12666666666666668,0.76,,0.050792126984126995
TSLA,lgbm,20,1429,0.443666899930021,0.20967741935483872,0.7428571428571429,,0.08988322349404557
TSLA,rf,10,1439,0.3856845031271717,0.1415929203539823,0.7272727272727273,,0.057013404013169074
TSLA,xgb,10,1439,0.3856845031271717,0.22123893805309736,0.625,0.5,0.07850695881767228
TSLA,logreg,20,1429,0.443666899930021,0.04032258064516129,0.625,,0.012875555218329672
TSLA,xgb,20,1429,0.443666899930021,0.27419354838709675,0.5666666666666667,0.2,0.08652129554690544
TSLA,knn,10,1439,0.3856845031271717,0.19469026548672566,0.55,,0.0584565521407874
TSLA,knn,20,1429,0.443666899930021,0.12096774193548387,0.5172413793103449,,0.03236558641421572
TSLA,lgbm,10,1439,0.3856845031271717,0.1592920353982301,0.4864864864864865,,0.04071196802342546
TSLA,logreg,5,1484,0.29110512129380056,0.10227272727272728,0.42857142857142855,,0.022898639936618406
TSLA,lgbm,5,1484,0.29110512129380056,0.13636363636363635,0.35294117647058826,,0.02481257835887726
TSLA,xgb,5,1484,0.29110512129380056,0.48863636363636365,0.33076923076923076,0.15,0.08666124171880751
TSLA,knn,5,1484,0.29110512129380056,0.07954545454545454,0.30434782608695654,,0.012140941477390928
TSLA,rf,5,1484,0.29110512129380056,0.03409090909090909,0.25,,0.004223133699434536
