stock,model,horizon,threshold,n_samples,target_rate,recall,precision,decision_threshold
META,knn,5,0.07,1284,0.09190031152647975,0.0,0.0,
META,knn,10,0.02,1279,0.4581704456606724,0.0,0.0,
META,knn,10,0.03,1279,0.3995308835027365,0.0,0.0,
META,knn,10,0.05,1279,0.292415949960907,0.0,0.0,
META,knn,10,0.07,1279,0.19390148553557468,0.0,0.0,
META,knn,20,0.07,1269,0.30811662726556344,0.0,0.0,
META,knn,45,0.05,1244,0.4903536977491961,0.0,0.0,
META,knn,45,0.07,1244,0.42363344051446944,0.0,0.0,
META,knn,45,0.02,1244,0.5643086816720257,0.0,0.0,
META,knn,60,0.02,1229,0.5720097640358015,0.0,0.0,
META,knn,60,0.03,1229,0.5524816924328723,0.0,0.0,
META,knn,60,0.05,1229,0.5069161920260374,0.0,0.0,
META,knn,60,0.07,1229,0.4727420667209113,0.0,0.0,
META,knn,90,0.02,1167,0.6229648671808055,0.0,0.0,
META,knn,90,0.03,1167,0.6101113967437874,0.0,0.0,
META,knn,90,0.05,1167,0.5801199657240789,0.0,0.0,
META,xgb,90,0.07,1167,0.5535561268209083,0.0,0.0,0.2
